operator,constant,found,total,elapsed_ms
Plus_Log_Tanh,1,4,35,9.59ms
Plus_Log_Tanh,E,3,35,4.20ms
Plus_Log_Tanh,Pi,3,35,4.12ms
Plus_Log_Tanh,-1,3,35,4.28ms
Plus_Log_Tanh,2,3,35,4.22ms
Plus_Log_Tanh,0,3,35,5.47ms
Plus_Log_Tanh,I,2,35,4.33ms
Plus_Log_Minus,1,5,35,7.84ms
Plus_Log_Minus,E,3,35,3.31ms
Plus_Log_Minus,Pi,3,35,2.94ms
Plus_Log_Minus,-1,3,35,3.06ms
Plus_Log_Minus,2,3,35,2.88ms
Plus_Log_Minus,0,3,35,4.36ms
Plus_Log_Minus,I,2,35,3.09ms
Plus_Log_Sqr,1,4,35,6.13ms
Plus_Log_Sqr,E,3,35,3.20ms
Plus_Log_Sqr,Pi,3,35,3.18ms
Plus_Log_Sqr,-1,3,35,3.55ms
Plus_Log_Sqr,2,3,35,3.27ms
Plus_Log_Sqr,0,3,35,5.03ms
Plus_Log_Sqr,I,2,35,3.38ms
Plus_Log_Sqrt,1,4,35,7.21ms
Plus_Log_Sqrt,E,3,35,3.92ms
Plus_Log_Sqrt,Pi,3,35,3.89ms
Plus_Log_Sqrt,-1,3,35,4.38ms
Plus_Log_Sqrt,2,3,35,3.95ms
Plus_Log_Sqrt,0,3,35,5.58ms
Plus_Log_Sqrt,I,2,35,4.40ms
Plus_Log_LogisticSigmoid,1,4,35,9.77ms
Plus_Log_LogisticSigmoid,E,3,35,4.06ms
Plus_Log_LogisticSigmoid,Pi,3,35,4.04ms
Plus_Log_LogisticSigmoid,-1,3,35,4.37ms
Plus_Log_LogisticSigmoid,2,3,35,4.14ms
Plus_Log_LogisticSigmoid,0,2,35,2.61ms
Plus_Log_LogisticSigmoid,I,2,35,4.28ms
Plus_Sin_Sin,1,3,35,1.64ms
Plus_Sin_Sin,E,3,35,1.71ms
Plus_Sin_Sin,Pi,4,35,3.08ms
Plus_Sin_Sin,-1,3,35,1.79ms
Plus_Sin_Sin,2,3,35,1.63ms
Plus_Sin_Sin,0,3,35,2.90ms
Plus_Sin_Sin,I,2,35,2.32ms
Plus_Sin_Tan,1,3,35,3.07ms
Plus_Sin_Tan,E,3,35,3.14ms
Plus_Sin_Tan,Pi,5,35,15.05ms
Plus_Sin_Tan,-1,3,35,3.10ms
Plus_Sin_Tan,2,3,35,3.18ms
Plus_Sin_Tan,0,4,35,15.88ms
Plus_Sin_Tan,I,2,35,4.25ms
Plus_Sin_Sinh,1,3,35,3.40ms
Plus_Sin_Sinh,E,3,35,3.28ms
Plus_Sin_Sinh,Pi,4,35,7.84ms
Plus_Sin_Sinh,-1,3,35,3.49ms
Plus_Sin_Sinh,2,3,35,3.16ms
Plus_Sin_Sinh,0,4,35,15.93ms
Plus_Sin_Sinh,I,2,35,3.39ms
Plus_Sin_Tanh,1,3,35,3.47ms
Plus_Sin_Tanh,E,3,35,3.50ms
Plus_Sin_Tanh,Pi,4,35,8.02ms
Plus_Sin_Tanh,-1,3,35,3.51ms
Plus_Sin_Tanh,2,3,35,3.42ms
Plus_Sin_Tanh,0,4,35,16.65ms
Plus_Sin_Tanh,I,2,35,3.62ms
Plus_Sin_Sqr,1,3,35,2.64ms
Plus_Sin_Sqr,E,3,35,2.69ms
Plus_Sin_Sqr,Pi,4,35,6.14ms
Plus_Sin_Sqr,-1,3,35,2.74ms
Plus_Sin_Sqr,2,3,35,2.69ms
Plus_Sin_Sqr,0,4,35,12.51ms
Plus_Sin_Sqr,I,2,35,2.88ms
Plus_Sin_Sqrt,1,3,35,3.43ms
Plus_Sin_Sqrt,E,3,35,3.46ms
Plus_Sin_Sqrt,Pi,4,35,7.83ms
Plus_Sin_Sqrt,-1,3,35,3.61ms
Plus_Sin_Sqrt,2,3,35,3.45ms
Plus_Sin_Sqrt,0,4,35,16.16ms
Plus_Sin_Sqrt,I,2,35,3.85ms
Plus_Cos_Exp,1,3,35,3.04ms
Plus_Cos_Exp,E,3,35,3.06ms
Plus_Cos_Exp,Pi,3,35,2.94ms
Plus_Cos_Exp,-1,3,35,3.07ms
Plus_Cos_Exp,2,3,35,3.11ms
Plus_Cos_Exp,0,3,35,7.25ms
Plus_Cos_Exp,I,2,35,3.40ms
Plus_Cos_Log,1,4,35,8.32ms
Plus_Cos_Log,E,3,35,3.70ms
Plus_Cos_Log,Pi,3,35,3.66ms
Plus_Cos_Log,-1,3,35,3.62ms
Plus_Cos_Log,2,3,35,3.56ms
Plus_Cos_Log,0,2,35,2.41ms
Plus_Cos_Log,I,2,35,3.83ms
Plus_Cos_Sin,1,3,35,2.97ms
Plus_Cos_Sin,E,3,35,2.95ms
Plus_Cos_Sin,Pi,5,35,13.06ms
Plus_Cos_Sin,-1,3,35,3.01ms
Plus_Cos_Sin,2,3,35,2.92ms
Plus_Cos_Sin,0,4,35,13.36ms
Plus_Cos_Sin,I,2,35,3.32ms
Plus_Cos_Cos,1,3,35,1.66ms
Plus_Cos_Cos,E,3,35,1.71ms
Plus_Cos_Cos,Pi,3,35,1.78ms
Plus_Cos_Cos,-1,3,35,1.69ms
Plus_Cos_Cos,2,3,35,1.70ms
Plus_Cos_Cos,0,3,35,2.72ms
Plus_Cos_Cos,I,2,35,1.78ms
Plus_Cos_Tan,1,3,35,3.16ms
Plus_Cos_Tan,E,3,35,3.14ms
Plus_Cos_Tan,Pi,5,35,14.41ms
Plus_Cos_Tan,-1,3,35,3.23ms
Plus_Cos_Tan,2,3,35,3.20ms
Plus_Cos_Tan,0,4,35,14.63ms
Plus_Cos_Tan,I,2,35,3.59ms
Plus_Cos_Sinh,1,3,35,3.79ms
Plus_Cos_Sinh,E,3,35,3.18ms
Plus_Cos_Sinh,Pi,3,35,3.26ms
Plus_Cos_Sinh,-1,3,35,3.32ms
Plus_Cos_Sinh,2,3,35,3.37ms
Plus_Cos_Sinh,0,4,35,14.86ms
Plus_Cos_Sinh,I,2,35,3.44ms
Plus_Cos_Cosh,1,3,35,3.40ms
Plus_Cos_Cosh,E,3,35,3.15ms
Plus_Cos_Cosh,Pi,3,35,3.23ms
Plus_Cos_Cosh,-1,3,35,3.39ms
Plus_Cos_Cosh,2,3,35,3.29ms
Plus_Cos_Cosh,0,3,35,7.54ms
